m F
6.482691 -0.14299613
6.5508446 -0.15320182
6.6197148 -0.16395882
6.6893091 -0.17568941
6.7596349 -0.18790476
6.8307002 -0.2006158
6.9025125 -0.21383362
6.9750799 -0.22756958
7.0484101 -0.24183522
7.1225113 -0.2566423
7.1973915 -0.27200282
7.273059 -0.287929
7.3495219 -0.30443327
7.4267887 -0.32152832
7.5048679 -0.33922707
7.5837679 -0.35754268
7.6634974 -0.37648857
7.7440651 -0.39607838
7.8254798 -0.41632605
7.9077505 -0.43724574
7.990886 -0.4588519
8.0748956 -0.48115924
8.1597884 -0.50418275
8.2455737 -0.52793768
8.3322609 -0.55243959
8.4198594 -0.57770432
8.5083789 -0.60374799
8.597829 -0.63058703
8.6882195 -0.65823817
8.7795603 -0.68671847
8.8718613 -0.71604527
8.9651328 -0.74623625
9.0593848 -0.77730941
9.1546277 -0.8092831
9.2508719 -0.84217597
9.348128 -0.87600705
9.4464065 -0.9107957
9.5457182 -0.94656163
9.6460741 -0.98332493
9.7474849 -1.021106
9.849962 -1.0599258
9.9535164 -1.0998053
10.058159 -1.1407663
10.163903 -1.1828307
10.270758 -1.2260208
10.378736 -1.2703595
10.487849 -1.3158699
10.59811 -1.3625758
10.70953 -1.410501
10.822121 -1.4596702
10.935896 -1.5101082
11.050867 -1.5618404
11.167046 -1.6148927
11.284448 -1.6692913
11.403083 -1.7250631
11.522966 -1.7822352
11.644109 -1.8408355
11.766525 -1.9008922
11.890229 -1.962434
12.015233 -2.0254903
12.141551 -2.0900907
12.269197 -2.1562657
12.398186 -2.2240462
12.52853 -2.2934634
12.660245 -2.3645496
12.793344 -2.4373371
12.927843 -2.5118591
13.063755 -2.5881494
13.201097 -2.6662423
13.339882 -2.7461728
13.480127 -2.8279764
13.621846 -2.9116892
13.765055 -2.9973483
13.909769 -3.084991
14.056005 -3.1746554
14.203778 -3.2663806
14.353105 -3.3602058
14.504002 -3.4561715
14.656485 -3.5543185
14.810571 -3.6546885
14.966277 -3.7573238
15.12362 -3.8622677
15.282618 -3.969564
15.443287 -4.0792573
15.605645 -4.1913933
15.76971 -4.306018
15.935499 -4.4231786
16.103032 -4.542923
16.272326 -4.6653
16.4434 -4.7903591
16.616272 -4.9181508
16.790962 -5.0487264
16.967488 -5.1821383
17.145871 -5.3184395
17.326128 -5.4576842
17.508281 -5.5999274
17.692348 -5.7452251
17.878351 -5.8936343
