t x y z hx hy rx ry rz dx dy rzrel acc
2.65 1.1571325 0 0 1 0 2.3571325 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.80356417
2.7 1.1204254 0 0 1 0 2.3204254 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.77807315
2.75 1.0817734 0 0 1 0 2.2817734 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.75123151
2.8 1.0412437 0 0 1 0 2.2412437 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.72308584
2.85 0.99890645 0 0 1 0 2.1989064 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.69368499
2.9 0.95483526 0 0 1 0 2.1548353 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.66308
2.95 0.90910661 0 0 1 0 2.1091066 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.631324
3 0.86179989 0 0 1 0 2.0617999 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.59847211
3.05 0.8129972 0 0 1 0 2.0129972 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.56458135
3.1 0.76278326 0 0 1 0 1.9627833 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.52971056
3.15 0.71124523 0 0 1 0 1.9112452 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.49392027
3.2 0.65847258 0 0 1 0 1.8584726 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.4572726
3.25 0.60455692 0 0 1 0 1.8045569 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.41983117
3.3 0.54959183 0 0 1 0 1.7495918 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.38166097
3.35 0.49367272 0 0 1 0 1.6936727 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.34282826
3.4 0.43689667 0 0 1 0 1.6368967 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.30340045
3.45 0.37936223 0 0 1 0 1.5793622 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.26344598
3.5 0.32116927 0 0 1 0 1.5211693 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.2230342
3.55 0.2624188 0 0 1 0 1.4624188 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.18223527
3.6 0.20321281 0 0 1 0 1.4032128 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.14112
3.65 0.14365407 0 0 1 0 1.3436541 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.099759768
3.7 0.083845971 0 0 1 0 1.283846 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.058226366
3.75 0.023892325 0 0 1 0 1.2238923 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.016591892
3.8 -0.036102796 0 0 1 0 1.1638972 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.025071384
3.85 -0.096035247 0 0 1 0 1.1039648 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.066691139
3.9 -0.15580099 0 0 1 0 1.044199 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.10819513
3.95 -0.21529629 0 0 1 0 0.98470371 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.14951131
4 -0.27441787 0 0 1 0 0.92558213 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.19056795
4.05 -0.33306309 0 0 1 0 0.86693691 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.2312938
4.1 -0.39113016 0 0 1 0 0.80886984 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.27161815
4.15 -0.44851829 0 0 1 0 0.75148171 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.31147102
4.2 -0.50512785 0 0 1 0 0.69487215 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.35078321
4.25 -0.56086058 0 0 1 0 0.63913942 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.38948649
4.3 -0.61561973 0 0 1 0 0.58438027 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.42751368
4.35 -0.66931025 0 0 1 0 0.53068975 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.46479876
4.4 -0.72183895 0 0 1 0 0.47816105 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.50127702
4.45 -0.77311463 0 0 1 0 0.42688537 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.53688513
4.5 -0.8230483 0 0 1 0 0.3769517 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.57156128
4.55 -0.87155327 0 0 1 0 0.32844673 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.60524529
4.6 -0.91854534 0 0 1 0 0.28145466 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.63787867
4.65 -0.96394295 0 0 1 0 0.23605705 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.66940479
4.7 -1.0076673 0 0 1 0 0.19233271 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.69976891
4.75 -1.0496425 0 0 1 0 0.15035754 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.72891833
4.8 -1.0897956 0 0 1 0 0.11020441 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.75680245
4.85 -1.128057 0 0 1 0 0.071943003 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.78337287
4.9 -1.1643603 0 0 1 0 0.035639748 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.80858346
4.95 -1.1986423 0 0 1 0 0.001357659 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.83239047
5 -1.2308438 0 0 1 0 -0.030843754 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.85475256
5.05 -1.2609086 0 0 1 0 -0.060908596 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.87563092
5.1 -1.2887847 0 0 1 0 -0.088784676 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.89498931
5.15 -1.3144236 0 0 1 0 -0.11442361 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.91279412
5.2 -1.3377809 0 0 1 0 -0.13778088 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.92901445
5.25 -1.358816 0 0 1 0 -0.15881596 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.94362214
5.3 -1.3774923 0 0 1 0 -0.17749232 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.95659183
5.35 -1.3937775 0 0 1 0 -0.19377754 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.96790102
5.4 -1.4076434 0 0 1 0 -0.20764337 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.97753006
5.45 -1.4190657 0 0 1 0 -0.21906572 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.98546225
5.5 -1.4280248 0 0 1 0 -0.22802478 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.99168381
5.55 -1.434505 0 0 1 0 -0.23450498 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.99618396
5.6 -1.4384951 0 0 1 0 -0.23849508 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.99895486
5.65 -1.4399882 0 0 1 0 -0.23998816 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.99999172
5.7 -1.4389816 0 0 1 0 -0.23898162 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.99929273
5.75 -1.4354772 0 0 1 0 -0.2354772 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.99685911
5.8 -1.429481 0 0 1 0 -0.22948101 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.99269509
5.85 -1.4210034 0 0 1 0 -0.22100343 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.98680788
5.9 -1.4100592 0 0 1 0 -0.21005919 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.97920771
5.95 -1.3966673 0 0 1 0 -0.19666728 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.96990778
6 -1.380851 0 0 1 0 -0.18085096 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.95892422
6.05 -1.3626377 0 0 1 0 -0.16263767 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.9462761
6.1 -1.342059 0 0 1 0 -0.14205903 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.93198538
6.15 -1.3191508 0 0 1 0 -0.11915077 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.91607687
6.2 -1.2939526 0 0 1 0 -0.093952642 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.89857817
6.25 -1.2665084 0 0 1 0 -0.066508397 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.87951967
6.3 -1.2368657 0 0 1 0 -0.036865671 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.85893444
6.35 -1.2050759 0 0 1 0 -0.0050759187 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.83685823
6.4 -1.1711943 0 0 1 0 0.028805676 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.81332934
6.45 -1.1352797 0 0 1 0 0.0647203 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.78838864
6.5 -1.0973944 0 0 1 0 0.10260561 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.76207939
6.55 -1.0576042 0 0 1 0 0.14239584 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.73444729
6.6 -1.0159781 0 0 1 0 0.18402193 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.70554028
6.65 -0.97258839 0 0 1 0 0.22741161 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.67540856
6.7 -0.92751043 0 0 1 0 0.27248957 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.64410443
6.75 -0.88082244 0 0 1 0 0.31917756 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.61168221
6.8 -0.83260547 0 0 1 0 0.36739453 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.57819821
6.85 -0.78294321 0 0 1 0 0.41705679 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.54371053
6.9 -0.73192187 0 0 1 0 0.46807813 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.50827905
6.95 -0.67963002 0 0 1 0 0.52036998 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.47196526
7 -0.62615843 0 0 1 0 0.57384157 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.43483221
7.05 -0.57159991 0 0 1 0 0.62840009 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.39694436
7.1 -0.51604917 0 0 1 0 0.68395083 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.35836746
7.15 -0.45960265 0 0 1 0 0.74039735 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.31916849
7.2 -0.40235832 0 0 1 0 0.79764168 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.27941548
7.25 -0.34441555 0 0 1 0 0.85558445 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.23917745
7.3 -0.28587492 0 0 1 0 0.91412508 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.19852424
7.35 -0.22683806 0 0 1 0 0.97316194 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.15752642
7.4 -0.16740744 0 0 1 0 1.0325926 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.11625516
7.45 -0.10768622 0 0 1 0 1.0923138 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.074782092
7.5 -0.047778072 0 0 1 0 1.1522219 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.033179214
7.55 0.012213011 0 0 1 0 1.212213 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.0084812584
7.6 0.072182894 0 0 1 0 1.2721829 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.050127007
7.65 0.13202748 0 0 1 0 1.3320275 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.091685744
7.7 0.19164288 0 0 1 0 1.3916429 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.13308533
7.75 0.25092562 0 0 1 0 1.4509256 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.17425389
7.8 0.30977278 0 0 1 0 1.5097728 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.21511998
7.85 0.36808223 0 0 1 0 1.5680822 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.25561264
7.9 0.42575273 0 0 1 0 1.6257527 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.2956616
7.95 0.48268419 0 0 1 0 1.6826842 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.33519733
8 0.53877777 0 0 1 0 1.7387778 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.37415121
8.05 0.59393611 0 0 1 0 1.7939361 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.41245561
8.1 0.64806347 0 0 1 0 1.8480635 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.45004405
8.15 0.70106587 0 0 1 0 1.9010659 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.48685127
8.2 0.75285132 0 0 1 0 1.9528513 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.52281339
8.25 0.80332993 0 0 1 0 2.0033299 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.55786797
8.3 0.85241407 0 0 1 0 2.0524141 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.59195418
8.35 0.90001854 0 0 1 0 2.1000185 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.62501284
8.4 0.9460607 0 0 1 0 2.1460607 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.65698656
8.45 0.99046064 0 0 1 0 2.1904606 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.68781985
8.5 1.0331413 0 0 1 0 2.2331413 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.71745917
