m F0 F1 F2 M0 M1 M2
9.3138089 2.6518735 2.3089621 1.7945949 0.58949717 0.59384689 0.60037147
9.436359 2.6639845 2.3142828 1.7897303 0.58949717 0.59384689 0.60037147
9.5589091 2.6756531 2.319117 1.7843128 0.58949717 0.59384689 0.60037147
9.6814593 2.6868822 2.3234677 1.7783459 0.58949717 0.59384689 0.60037147
9.8040094 2.6976745 2.3273379 1.7718331 0.58949717 0.59384689 0.60037147
9.9265595 2.7080329 2.3307308 1.7647778 0.58949717 0.59384689 0.60037147
10.04911 2.7179599 2.3336493 1.7571833 0.58949717 0.59384689 0.60037147
10.17166 2.7274583 2.3360962 1.7490531 0.58949717 0.59384689 0.60037147
10.29421 2.7365306 2.3380744 1.7403902 0.58949717 0.59384689 0.60037147
10.41676 2.7451794 2.3395868 1.7311979 0.58949717 0.59384689 0.60037147
10.53931 2.7534071 2.340636 1.7214793 0.58949717 0.59384689 0.60037147
10.66186 2.7612163 2.3412248 1.7112375 0.58949717 0.59384689 0.60037147
10.78441 2.7686092 2.3413558 1.7004755 0.58949717 0.59384689 0.60037147
10.90696 2.7755884 2.3410316 1.6891963 0.58949717 0.59384689 0.60037147
11.029511 2.7821562 2.3402548 1.6774027 0.58949717 0.59384689 0.60037147
11.152061 2.7883147 2.3390279 1.6650976 0.58949717 0.59384689 0.60037147
11.274611 2.7940664 2.3373534 1.6522839 0.58949717 0.59384689 0.60037147
11.397161 2.7994133 2.3352337 1.6389644 0.58949717 0.59384689 0.60037147
11.519711 2.8043578 2.3326713 1.6251416 0.58949717 0.59384689 0.60037147
11.642261 2.8089018 2.3296685 1.6108185 0.58949717 0.59384689 0.60037147
11.764811 2.8130476 2.3262276 1.5959975 0.58949717 0.59384689 0.60037147
11.887361 2.8167972 2.3223508 1.5806812 0.58949717 0.59384689 0.60037147
12.009911 2.8201527 2.3180406 1.5648724 0.58949717 0.59384689 0.60037147
12.132462 2.8231161 2.313299 1.5485733 0.58949717 0.59384689 0.60037147
12.255012 2.8256894 2.3081283 1.5317866 0.58949717 0.59384689 0.60037147
12.377562 2.8278744 2.3025306 1.5145147 0.58949717 0.59384689 0.60037147
12.500112 2.8296733 2.296508 1.49676 0.58949717 0.59384689 0.60037147
12.622662 2.8310877 2.2900626 1.4785249 0.58949717 0.59384689 0.60037147
12.745212 2.8321197 2.2831965 1.4598116 0.58949717 0.59384689 0.60037147
12.867762 2.8327711 2.2759117 1.4406226 0.58949717 0.59384689 0.60037147
12.990312 2.8330437 2.2682102 1.42096 0.58949717 0.59384689 0.60037147
13.112863 2.8329392 2.260094 1.4008262 0.58949717 0.59384689 0.60037147
13.235413 2.8324594 2.251565 1.3802233 0.58949717 0.59384689 0.60037147
13.357963 2.8316062 2.2426251 1.3591534 0.58949717 0.59384689 0.60037147
13.480513 2.8303811 2.2332762 1.3376189 0.58949717 0.59384689 0.60037147
13.603063 2.828786 2.2235202 1.3156216 0.58949717 0.59384689 0.60037147
13.725613 2.8268224 2.213359 1.2931639 0.58949717 0.59384689 0.60037147
13.848163 2.824492 2.2027942 1.2702476 0.58949717 0.59384689 0.60037147
13.970713 2.8217964 2.1918278 1.2468749 0.58949717 0.59384689 0.60037147
14.093263 2.8187373 2.1804615 1.2230478 0.58949717 0.59384689 0.60037147
14.215814 2.8153162 2.168697 1.1987682 0.58949717 0.59384689 0.60037147
14.338364 2.8115347 2.1565361 1.1740381 0.58949717 0.59384689 0.60037147
14.460914 2.8073943 2.1439804 1.1488594 0.58949717 0.59384689 0.60037147
14.583464 2.8028966 2.1310316 1.123234 0.58949717 0.59384689 0.60037147
14.706014 2.7980431 2.1176914 1.0971638 0.58949717 0.59384689 0.60037147
14.828564 2.7928352 2.1039614 1.0706507 0.58949717 0.59384689 0.60037147
14.951114 2.7872744 2.0898433 1.0436965 0.58949717 0.59384689 0.60037147
15.073664 2.7813622 2.0753385 1.016303 0.58949717 0.59384689 0.60037147
15.196215 2.7751 2.0604488 0.98847194 0.58949717 0.59384689 0.60037147
15.318765 2.7684892 2.0451756 0.96020519 0.58949717 0.59384689 0.60037147
15.441315 2.7615312 2.0295205 0.93150444 0.58949717 0.59384689 0.60037147
15.563865 2.7542274 2.013485 0.90237144 0.58949717 0.59384689 0.60037147
15.686415 2.7465792 1.9970706 0.87280787 0.58949717 0.59384689 0.60037147
15.808965 2.7385878 1.9802788 0.84281543 0.58949717 0.59384689 0.60037147
15.931515 2.7302547 1.9631111 0.81239578 0.58949717 0.59384689 0.60037147
16.054065 2.7215811 1.9455689 0.78155056 0.58949717 0.59384689 0.60037147
16.176615 2.7125684 1.9276536 0.75028142 0.58949717 0.59384689 0.60037147
16.299166 2.7032178 1.9093667 0.71858995 0.58949717 0.59384689 0.60037147
16.421716 2.6935307 1.8907095 0.68647774 0.58949717 0.59384689 0.60037147
16.544266 2.6835082 1.8716834 0.65394637 0.58949717 0.59384689 0.60037147
16.666816 2.6731516 1.8522899 0.62099739 0.58949717 0.59384689 0.60037147
16.789366 2.6624621 1.8325302 0.58763235 0.58949717 0.59384689 0.60037147
16.911916 2.6514411 1.8124057 0.55385276 0.58949717 0.59384689 0.60037147
17.034466 2.6400896 1.7919178 0.51966012 0.58949717 0.59384689 0.60037147
17.157016 2.6284088 1.7710677 0.48505593 0.58949717 0.59384689 0.60037147
17.279567 2.6164 1.7498567 0.45004166 0.58949717 0.59384689 0.60037147
17.402117 2.6040643 1.7282861 0.41461877 0.58949717 0.59384689 0.60037147
17.524667 2.5914028 1.7063572 0.37878869 0.58949717 0.59384689 0.60037147
17.647217 2.5784167 1.6840712 0.34255286 0.58949717 0.59384689 0.60037147
17.769767 2.5651072 1.6614294 0.30591268 0.58949717 0.59384689 0.60037147
17.892317 2.5514753 1.638433 0.26886955 0.58949717 0.59384689 0.60037147
18.014867 2.5375221 1.6150832 0.23142485 0.58949717 0.59384689 0.60037147
18.137417 2.5232488 1.5913813 0.19357995 0.58949717 0.59384689 0.60037147
18.259967 2.5086564 1.5673283 0.15533621 0.58949717 0.59384689 0.60037147
18.382518 2.493746 1.5429256 0.11669497 0.58949717 0.59384689 0.60037147
18.505068 2.4785187 1.5181742 0.077657551 0.58949717 0.59384689 0.60037147
18.627618 2.4629755 1.4930754 0.038225269 0.58949717 0.59384689 0.60037147
18.750168 2.4471174 1.4676302 -0.0016005739 0.58949717 0.59384689 0.60037147
18.872718 2.4309455 1.4418398 -0.04181869 0.58949717 0.59384689 0.60037147
18.995268 2.4144608 1.4157054 -0.082427803 0.58949717 0.59384689 0.60037147
19.117818 2.3976643 1.3892279 -0.12342665 0.58949717 0.59384689 0.60037147
19.240368 2.3805571 1.3624087 -0.16481398 0.58949717 0.59384689 0.60037147
19.362919 2.36314 1.3352486 -0.20658855 0.58949717 0.59384689 0.60037147
19.485469 2.3454142 1.3077488 -0.24874914 0.58949717 0.59384689 0.60037147
19.608019 2.3273804 1.2799105 -0.29129453 0.58949717 0.59384689 0.60037147
19.730569 2.3090399 1.2517345 -0.33422352 0.58949717 0.59384689 0.60037147
19.853119 2.2903933 1.223222 -0.37753491 0.58949717 0.59384689 0.60037147
19.975669 2.2714419 1.1943741 -0.42122751 0.58949717 0.59384689 0.60037147
20.098219 2.2521863 1.1651917 -0.46530017 0.58949717 0.59384689 0.60037147
