x p0 p1 p2 p3 p4
1.5538424 0.87670449 0.97404768 1.0264953 1.0816131 1.13952
1.5809778 0.87478818 0.97605826 1.0307903 1.0884272 1.149104
1.608587 0.8727476 0.97793499 1.0349604 1.0951362 1.1586154
1.6366784 0.87058707 0.97968073 1.0390077 1.1017415 1.1680549
1.6652604 0.8683108 0.98129828 1.0429341 1.1082446 1.1774235
1.6943415 0.86592292 0.9827904 1.0467419 1.1146469 1.1867221
1.7239305 0.86342747 0.98415981 1.0504329 1.1209497 1.1959517
1.7540362 0.86082838 0.9854092 1.0540092 1.1271544 1.2051131
1.7846676 0.85812948 0.98654119 1.0574727 1.1332624 1.2142072
1.815834 0.85533455 0.98755839 1.0608255 1.1392751 1.223235
1.8475446 0.85244722 0.98846335 1.0640694 1.1451937 1.2321972
1.879809 0.84947108 0.98925856 1.0672064 1.1510196 1.2410948
1.9126369 0.84640962 0.98994652 1.0702382 1.1567541 1.2499285
1.9460381 0.84326623 0.99052963 1.0731668 1.1623986 1.2586994
1.9800225 0.84004423 0.9910103 1.075994 1.1679542 1.2674082
2.0146004 0.83674684 0.99139087 1.0787216 1.1734222 1.2760558
2.0497822 0.83337723 0.99167364 1.0813513 1.1788039 1.2846429
2.0855784 0.82993845 0.99186089 1.0838849 1.1841006 1.2931706
2.1219997 0.8264335 0.99195485 1.0863242 1.1893135 1.3016394
2.159057 0.8228653 0.99195769 1.0886707 1.1944437 1.3100504
2.1967615 0.81923667 0.99187159 1.0909263 1.1994925 1.3184042
2.2351244 0.81555038 0.99169864 1.0930926 1.204461 1.3267018
2.2741573 0.81180912 0.99144092 1.0951711 1.2093505 1.3349438
2.3138718 0.80801551 0.99110048 1.0971635 1.2141621 1.3431311
2.3542799 0.80417209 0.99067931 1.0990714 1.2188969 1.3512644
2.3953936 0.80028134 0.99017938 1.1008963 1.2235561 1.3593446
2.4372254 0.79634567 0.98960263 1.1026398 1.2281407 1.3673723
2.4797876 0.79236742 0.98895093 1.1043034 1.2326519 1.3753484
