t hx hy rawx rawy govx govy vehx vehy draw dgov dveh elag clear
1.4 1.3240008 0 2.4801381 0.32147549 2.4950709 0.29707643 2.4889652 0.27355544 1.2043673 1.2125017 1.2010361 0.048726305 0.71994688
1.44 1.3421363 0 2.4809373 0.37832831 2.5067977 0.33828185 2.5014008 0.31624392 1.2043673 1.2171161 1.2060351 0.065372347 0.72445299
1.48 1.3587807 0 2.4736489 0.44392426 2.5159783 0.38257042 2.5113767 0.36291156 1.2043673 1.2230973 1.2128169 0.089374565 0.73156958
1.52 1.3739154 0 2.4560793 0.51857629 2.5224016 0.42975408 2.5187404 0.4132839 1.2043673 1.2305323 1.2216022 0.12254118 0.74163899
1.56 1.3875238 0 2.4255869 0.60201741 2.5258365 0.47959256 2.5232863 0.46704228 1.2043673 1.2394618 1.2325253 0.16664351 0.75494772
1.6 1.3995906 0 2.3791774 0.69311594 2.5260424 0.5317857 2.5247607 0.52382092 1.2043673 1.2498761 1.2456245 0.22330717 0.77171507
1.64 1.4101024 0 2.313742 0.78957929 2.5227827 0.58596755 2.5228755 0.58319721 1.2043673 1.2617116 1.2608383 0.29384713 0.79207081
1.68 1.4190476 0 2.2264791 0.88772425 2.5158435 0.64170419 2.5173271 0.64468022 1.2043673 1.2748514 1.2780054 0.37905701 0.81602276
1.72 1.4264162 0 2.1154954 0.98243059 2.5050529 0.69849768 2.5078209 0.7077017 1.2043673 1.2891302 1.2968694 0.47898042 0.84341783
1.76 1.4322001 0 1.9805064 1.0674082 2.4903015 0.7557976 2.4941098 0.77161183 1.2043673 1.3043424 1.3170987 0.59271998 0.87382731
1.8 1.4363928 0 1.8234569 1.1358615 2.4715581 0.81302084 2.4760401 0.83568772 1.2043673 1.3202541 1.3383183 0.7183385 0.90621163
1.84 1.4389896 0 1.6488172 1.1815128 2.4488781 0.86957817 2.4535074 0.89915614 1.2043673 1.3366157 1.3600533 0.85282045 0.9317263
1.88 1.4399877 0 1.4633377 1.1997728 2.4223995 0.92490406 2.4265071 0.96121042 1.2043673 1.3531744 1.3817836 0.99230524 0.95322532
1.92 1.439386 0 1.2752042 1.1887154 2.3923282 0.978485 2.3951701 1.0210526 1.2043673 1.3696833 1.4029999 1.1324788 0.97326055
1.96 1.4371851 0 1.0927735 1.1495132 2.3589119 1.0298812 2.359758 1.0779423 1.2043673 1.3859063 1.4232328 1.2690383 0.99098507
2 1.4333875 0 0.92325645 1.0861705 2.3224086 1.078739 2.3206366 1.1312376 1.2043673 1.4016195 1.4420683 1.3981425 1.0057926
2.04 1.4279973 0 0.77174336 1.0046545 2.2830561 1.1247923 2.2782371 1.1804261 1.2043673 1.41661 1.4591569 1.5167515 1.0173759
