t x y z hx hy rx ry rz dx dy rzrel acc
1.75 0.16160554 1.4309031 -0.035355339 -0.9936827 0.11222607 -1.0308137 1.5655744 1.3621717 -1.1924192 0.13467129 -0.035355339 3.3995542
1.8 0.10186157 1.4363928 -0.047552826 -0.99749499 0.070737202 -1.0951324 1.5212774 1.3499742 -1.196994 0.084884642 -0.047552826 4.4199455
1.85 0.041940779 1.4393891 -0.049384417 -0.99957576 0.029125541 -1.1575501 1.4743397 1.3481426 -1.1994909 0.034950649 -0.049384417 4.5756734
1.9 -0.018052816 1.4398868 -0.04045085 -0.99992141 -0.012536678 -1.2179585 1.4248428 1.3570762 -1.1999057 -0.015044014 -0.04045085 3.8216039
1.95 -0.078015074 1.4378851 -0.022699525 -0.99853134 -0.054177135 -1.2762527 1.3728726 1.3748275 -1.1982376 -0.065012562 -0.022699525 2.3999838
2 -0.13784191 1.4333875 -3.6739404e-17 -0.99540796 -0.095723548 -1.3323315 1.3185192 1.3975271 -1.1944895 -0.11486826 0 1.3017082
2.05 -0.19742947 1.4264016 0.022699525 -0.99055669 -0.1371038 -1.3860975 1.2618771 1.4202266 -1.188668 -0.16452456 0.022699525 2.3999838
2.1 -0.25667432 1.4169398 0.04045085 -0.98398595 -0.17824606 -1.4374575 1.2030445 1.4379779 -1.1807831 -0.21389527 0.04045085 3.8216039
2.15 -0.31547362 1.4050183 0.049384417 -0.97570715 -0.2190789 -1.4863222 1.1421236 1.4469115 -1.1708486 -0.26289468 0.049384417 4.5756734
2.2 -0.3737253 1.3906579 0.047552826 -0.96573465 -0.25953146 -1.5326069 1.0792201 1.4450799 -1.1588816 -0.31143775 0.047552826 4.4199455
2.25 -0.43132825 1.3738835 0.035355339 -0.95408578 -0.29953351 -1.5762312 1.0144433 1.4328824 -1.1449029 -0.35944021 0.035355339 3.3995542
2.3 -0.48818247 1.3547243 0.01545085 -0.94078075 -0.3390156 -1.6171194 0.94790555 1.4129779 -1.1289369 -0.40681873 0.01545085 1.8915652
2.35 -0.54418928 1.3332134 -0.0078217233 -0.92584266 -0.37790922 -1.6552005 0.87972236 1.3897053 -1.1110112 -0.45349106 -0.0078217233 1.475517
