re im
-2.3955105 1.5040523
-2.4058595 1.4912481
-2.416049 1.4783605
-2.4260781 1.4653914
-2.4359461 1.4523429
-2.4456523 1.4392169
-2.455196 1.4260156
-2.4645769 1.4127412
-2.4737944 1.399396
-2.4828481 1.3859824
-2.4917378 1.3725026
-2.5004634 1.3589591
-2.5090247 1.3453545
-2.5174217 1.3316913
-2.5256544 1.317972
-2.5337231 1.3041993
-2.541628 1.2903758
-2.5493695 1.2765042
-2.556948 1.2625872
-2.5643639 1.2486275
-2.5716181 1.2346278
-2.578711 1.220591
-2.5856437 1.2065198
-2.5924168 1.1924168
-2.5990315 1.178285
-2.6054887 1.1641269
-2.6117897 1.1499455
-2.6179356 1.1357433
-2.6239278 1.1215232
-2.6297676 1.1072877
-2.6354565 1.0930396
-2.6409961 1.0787815
-2.646388 1.064516
-2.6516339 1.0502456
-2.6567355 1.0359728
-2.6616947 1.0217002
-2.6665133 1.0074302
-2.6711933 0.99316507
-2.6757367 0.97890723
-2.6801456 0.9646589
-2.684422 0.95042231
-2.6885682 0.93619959
-2.6925862 0.92199281
-2.6964785 0.907804
-2.7002471 0.89363509
-2.7038945 0.87948795
-2.707423 0.86536438
-2.7108349 0.85126611
-2.7141326 0.83719478
-2.7173185 0.82315196
-2.7203951 0.80913915
-2.7233647 0.79515775
-2.7262299 0.7812091
-2.728993 0.76729446
-2.7316565 0.753415
-2.7342228 0.7395718
-2.7366945 0.72576588
-2.7390738 0.71199816
-2.7413632 0.6982695
-2.7435652 0.68458066
-2.7456821 0.67093232
-2.7477162 0.65732511
-2.74967 0.64375955
-2.7515457 0.6302361
-2.7533456 0.61675512
-2.755072 0.60331694
-2.7567272 0.58992176
-2.7583132 0.57656976
-2.7598324 0.56326101
-2.7612867 0.54999554
-2.7626784 0.53677329
-2.7640094 0.52359414
-2.7652817 0.51045791
-2.7664973 0.49736435
-2.7676582 0.48431317
-2.7687662 0.47130398
-2.769823 0.45833638
-2.7708306 0.44540988
-2.7717907 0.43252394
-2.7727048 0.41967799
-2.7735748 0.40687139
-2.7744021 0.39410345
-2.7751883 0.38137346
-2.7759348 0.36868063
-2.7766432 0.35602415
-2.7773149 0.34340316
-2.777951 0.33081678
-2.7785531 0.31826406
-2.7791222 0.30574403
-2.7796596 0.29325571
-2.7801665 0.28079805
-2.7806439 0.26836998
-2.7810928 0.25597042
-2.7815143 0.24359825
-2.7819094 0.23125232
-2.7822788 0.21893145
-2.7826235 0.20663447
-2.7829443 0.19436014
-2.7832418 0.18210724
-2.7835169 0.16987452
-2.7837702 0.1576607
-2.7840023 0.1454645
-2.7842138 0.13328463
-2.7844051 0.12111975
-2.7845768 0.10896856
-2.7847292 0.096829701
-2.7848629 0.084701842
-2.784978 0.072583622
-2.7850749 0.060473678
-2.7851539 0.048370641
-2.7852151 0.036273135
-2.7852587 0.024179781
-2.7852849 0.012089198
-2.7852936 1.6964953e-16
-2.7852849 -0.012089198
-2.7852587 -0.024179781
-2.7852151 -0.036273135
-2.7851539 -0.048370641
-2.7850749 -0.060473678
-2.784978 -0.072583622
-2.7848629 -0.084701842
-2.7847292 -0.096829701
-2.7845768 -0.10896856
-2.7844051 -0.12111975
-2.7842138 -0.13328463
-2.7840023 -0.1454645
-2.7837702 -0.1576607
-2.7835169 -0.16987452
-2.7832418 -0.18210724
-2.7829443 -0.19436014
-2.7826235 -0.20663447
-2.7822788 -0.21893145
-2.7819094 -0.23125232
-2.7815143 -0.24359825
-2.7810928 -0.25597042
-2.7806439 -0.26836998
-2.7801665 -0.28079805
-2.7796596 -0.29325571
-2.7791222 -0.30574403
-2.7785531 -0.31826406
-2.777951 -0.33081678
-2.7773149 -0.34340316
-2.7766432 -0.35602415
-2.7759348 -0.36868063
-2.7751883 -0.38137346
-2.7744021 -0.39410345
-2.7735748 -0.40687139
-2.7727048 -0.41967799
-2.7717907 -0.43252394
-2.7708306 -0.44540988
-2.769823 -0.45833638
-2.7687662 -0.47130398
-2.7676582 -0.48431317
-2.7664973 -0.49736435
-2.7652817 -0.51045791
-2.7640094 -0.52359414
-2.7626784 -0.53677329
-2.7612867 -0.54999554
-2.7598324 -0.56326101
-2.7583132 -0.57656976
-2.7567272 -0.58992176
-2.755072 -0.60331694
-2.7533456 -0.61675512
-2.7515457 -0.6302361
-2.74967 -0.64375955
-2.7477162 -0.65732511
-2.7456821 -0.67093232
-2.7435652 -0.68458066
-2.7413632 -0.6982695
-2.7390738 -0.71199816
-2.7366945 -0.72576588
-2.7342228 -0.7395718
-2.7316565 -0.753415
-2.728993 -0.76729446
-2.7262299 -0.7812091
-2.7233647 -0.79515775
-2.7203951 -0.80913915
-2.7173185 -0.82315196
-2.7141326 -0.83719478
-2.7108349 -0.85126611
-2.707423 -0.86536438
-2.7038945 -0.87948795
-2.7002471 -0.89363509
-2.6964785 -0.907804
-2.6925862 -0.92199281
-2.6885682 -0.93619959
-2.684422 -0.95042231
-2.6801456 -0.9646589
-2.6757367 -0.97890723
-2.6711933 -0.99316507
-2.6665133 -1.0074302
-2.6616947 -1.0217002
-2.6567355 -1.0359728
-2.6516339 -1.0502456
-2.646388 -1.064516
-2.6409961 -1.0787815
-2.6354565 -1.0930396
-2.6297676 -1.1072877
-2.6239278 -1.1215232
-2.6179356 -1.1357433
-2.6117897 -1.1499455
-2.6054887 -1.1641269
-2.5990315 -1.178285
-2.5924168 -1.1924168
-2.5856437 -1.2065198
-2.578711 -1.220591
-2.5716181 -1.2346278
-2.5643639 -1.2486275
-2.556948 -1.2625872
-2.5493695 -1.2765042
-2.541628 -1.2903758
-2.5337231 -1.3041993
-2.5256544 -1.317972
-2.5174217 -1.3316913
-2.5090247 -1.3453545
-2.5004634 -1.3589591
-2.4917378 -1.3725026
-2.4828481 -1.3859824
-2.4737944 -1.399396
-2.4645769 -1.4127412
-2.455196 -1.4260156
-2.4456523 -1.4392169
-2.4359461 -1.4523429
-2.4260781 -1.4653914
-2.416049 -1.4783605
-2.4058595 -1.4912481
