t track lag clear P screen tilt
15.36 50.895573 194.87272 0.68564196 112.17915 1.3741104 17.96914
15.4 47.859402 168.76368 0.68251976 111.16994 1.1598794 16.507671
15.44 44.858007 147.359 0.67949257 110.31775 0.93211395 14.977132
15.48 42.235403 130.39167 0.67641392 109.68249 0.7185352 13.437772
15.52 40.351929 117.50244 0.6732852 109.21938 0.53709227 11.929055
15.56 39.511718 108.21773 0.67020329 108.85959 0.39598853 10.474945
15.6 39.866605 101.94781 0.66731545 108.55381 0.29587361 9.0904584
15.64 41.355972 98.025014 0.66478598 108.27908 0.23275557 7.7868943
15.68 43.733914 95.772957 0.66277362 108.02942 0.20027194 6.5748976
15.72 46.659782 94.575133 0.66141719 107.80546 0.19089848 5.4659603
15.76 49.785381 93.916599 0.66082704 107.60899 0.19708365 4.4736696
15.8 52.803516 93.394297 0.66108032 107.44197 0.21265509 3.616449
15.84 55.463087 92.70649 0.66221862 107.30756 0.23348691 2.9238439
15.88 57.567274 91.633809 0.66424746 107.21163 0.25729702 2.4460861
15.92 58.966115 90.019988 0.66713718 107.16385 0.28317178 2.2517648
15.96 59.548437 87.755678 0.67082515 107.17884 0.31113696 2.3829089
